Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Environment - Eastern and Northern Australia Severe Drought,"Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Environment,1/1/1991,1/10/1996,N/A,N/A
Environment - Eastern Australia Drought,"Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Environment,1/4/1982,1/3/1983,N/A,N/A
Environment - National Drought,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Environment,1/1/1958,1/9/1968,N/A,N/A
Environment - Northern Australia,Western Australia,"Ashmore Reef , Bonaparte Archipelago , Cape Londonderry , Derby , Durack Ranges , Fitzroy Crossing , Halls Creek , Lagrange , Wyndham",Environment,1/1/1951,1/4/1954,N/A,N/A
Environment - World War ll Drought,"Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Environment,1/1/1939,30/6/1945,N/A,N/A
Environment- Drought,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Environment,1/1/1918,2/1/1920,N/A,N/A
Environment - Drought,"Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Environment,1/1/1911,31/12/1915,N/A,N/A
Health- South Australia and Victoria Heatwave,"Victoria , South Australia",Adelaide,Health,30/12/2011,4/1/2012,N/A,45
Health- South Eastern Australia Heatwave,"Victoria , South Australia","Cooma (VIC) , Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Warrnambool (VIC) , Adelaide , Ceduna , Coober Pedy , Cook , Danggali (SA) , Lake Blanche , Lake Eyre , Lake Maurice , Leigh Creek , Marla , Mount Gambier (SA) , Murray Bridge (SA) , Musgrave ranges , Oodnadatta , Tarcoola , Warburton Creek , Warrnambool (SA) , Whyalla , Woomera , Melbourne",Health,27/1/2009,31/1/2009,374,N/A
Health - South East Queensland Heatwave,Queensland,Brisbane,Health,20/1/2000,24/1/2000,22,350
Health - Townsville Heatwave,Queensland,Townsville,Health,6/1/1994,10/1/1994,3,N/A
Health - National Heatwave,"Australia Wide , Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1972,28/2/1973,99,N/A
Health -  Oodnadatta Heatwave,South Australia,Oodnadatta,Health,31/12/1959,3/1/1960,13,18
Health - National Heatwave,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1959,28/2/1960,98,N/A
Health - National Heatwave,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1939,28/2/1940,112,N/A
Health- South Eastern Australia Heatwave,"New South Wales , South Australia , Victoria","Sydney , Adelaide , Ceduna , Melbourne",Health,1/1/1939,16/1/1939,400,N/A
Health - Melbourne and Northern Victoria Legionnaires' Disease Outbreak,Victoria,Melbourne,Health,11/4/2000,27/4/2000,4,131
Health - Food Poisoning Outbreak,South Australia,Adelaide,Health,1/11/1994,1/2/1995,1,22
Health - Poliomyelitis,"Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/1/1930,1/1/1959,N/A,"40,000"
Health- Spanish Flu,"Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/1/1918,31/12/1919,"10,000",N/A
Health - Bubonic Plague Sydney,"Queensland , New South Wales , South Australia , Western Australia , Victoria","Brisbane , Sydney , Adelaide , Bunbury , Perth , Melbourne",Health,19/1/1900,1/1/1925,535,"1,371"
Health - Heatwave,"Australia Wide , Queensland , New South Wales , Australian Capital Territory , South Australia , Western Australia , Northern Territory , Tasmania , Victoria","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Environment,01/12/1895,28/02/1896,431,N/A
Health - South-Eastern Australia Heatwave,National,National,Health,7/1/2014,22/1/2014,167,1896
Health - National Heatwave,National,National,Health,26/12/1926,27/1/1927,130,N/A
Health - National Heatwave,National,National,Health,28/12/2012,10/1/2013,240,N/A
Health - Heatwave,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1938,28/2/1939,438,N/A
Health - Heatwave,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1926,28/2/1927,130,N/A
Health - Heatwave,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1920,28/2/1921,147,N/A
Health - Heatwave,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1913,28/2/1914,122,N/A
Health - Heatwave,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,1/12/1911,28/2/1912,143,N/A
Health - Heatwaves,National,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",Health,9/12/1909,10/2/1910,109,N/A
Health - Melbourne heatwave,Victoria,Melbourne,Health,1/12/1907,28/2/1908,246,N/A
Flood - Bolwarra,New South Wales,Sydney,Flood,28/07/1857,29/07/1857,26,N/A
Flood - Southern Tasmania,Tasmania,Hobart,Flood,26/02/1854,22/03/1854,N/A,N/A
Flood - Gundagai,New South Wales,Canberra (NSW),Flood,25/06/1852,25/06/1852,89,N/A
Flood - Mid-North South Australia,South Australia,"Adelaide , Leigh Creek , Murray Bridge (SA)",Flood,14/04/1889,19/04/1889,5,N/A
Flood - Araluen and Braidwood,New South Wales,Wollongong,Flood,08/02/1860,13/02/1860,24,N/A
Flood -  Widespread New South Wales (including Queensland and South Australia),New South Wales,"Bourke , Broken Hill , Danggali (NSW) , Swan Hill (NSW)",Flood,01/04/1890,01/10/1890,9,N/A
"Flood - Black February. Brisbane, Ipswich and Maryborough",Queensland,"Brisbane , Bundaberg",Flood,01/02/1893,15/02/1893,35,300
Flood - Maitland,New South Wales,Maitland,Flood,9/3/1893,,8,N/A
Flood - Katherine and Daly River,Northern Territory,"Katherine , Victoria River",Flood,01/02/1879,01/02/1879,6,N/A
Flood - Clermont and Peak Downs,Queensland,Clermont,Flood,01/02/1870,01/02/1870,15,N/A
Flood - Widespread New South Wales and Queensland,New South Wales,New South Wales,Flood,14/2/1863,28/2/1863,10,N/A
